,Predicted_Infections
0,0.3532088751533422
1,-1.969921616972755
2,-4.764475628420229
3,-3.0379380690878577
4,0.9253164998737589
5,-1.054612222017198
6,1.5609825511074575
7,4.230797435711793
8,2.7981465641717875
9,-0.3110680868218765
10,0.04656774813273046
11,1.991562945695705
12,-2.128223350703962
13,-1.1285368490802057
14,0.8221687676124816
15,-0.3273828928835769
16,-2.290214355774282
17,-0.26932428093496696
18,3.3595617311693218
19,0.4539076218515561
20,2.007631641399115
21,3.7991242155568727
22,1.961430261866127
23,-0.8320010619119671
24,0.6524862910430898
25,4.3243605924109545
26,2.079560598302862
27,4.830715614063649
28,7.958685045569609
29,7.094140170819685
30,4.491608316306838
31,5.1680445299091105
32,7.053685620872528
33,2.3372482413296325
34,2.6014010888634687
35,3.9026405484123927
36,2.4775426932267806
37,0.9829774058268583
38,4.485485204225654
39,10.512492484054718
40,10.476152722997995
41,15.136244125301232
42,19.659363051806707
43,19.643589840996555
44,17.560363552371285
45,18.78237040095985
46,21.521089069361437
47,18.110359621012094
48,20.42266128373194
49,24.469219408141782
50,26.349118263689633
51,28.64192814937698
52,36.428697373403566
53,47.28534121946426
54,52.76376474116269
55,64.17690781555609
56,77.12171687828132
57,87.59972161674133
58,98.40821762611917
59,114.99406804564816
60,135.1845390020824
61,150.48577545670614
62,171.91149954019065
63,194.26397153480764
64,212.48437872344584
65,228.32476038838882
66,246.47481927496517
67,264.51008099678603
68,274.3855301538677
69,288.45586808053514
70,303.35468284436195
71,316.1048293226462
72,330.3717281759791
73,352.0841070068011
74,378.9276767204933
75,401.64971038133456
76,430.3027321861805
77,458.2111550523753
78,478.7259235364268
79,492.1797926648121
80,502.1344824858843
81,505.32143370073516
82,493.2206749804818
83,478.42921832552497
84,458.0447209029344
85,429.9328649995681
86,399.00237751488555
87,372.7127400674907
88,350.3802676129124
89,324.4451993589079
90,306.98511860549576
91,293.1292857658374
92,277.9129728618449
93,263.184353997255
94,253.658927238668
95,246.60248674248243
96,233.34183044958021
97,225.94355536854562
98,220.18050262528322
99,212.13355940495615
