,Predicted_Infections
0,-1.8485455781927307
1,-2.505434722174744
2,-1.747875606534997
3,-1.869944452962251
4,-2.2922015923502705
5,-1.789250441338174
6,-2.5904783051355444
7,-2.8706639831820446
8,-3.02476303792605
9,-1.3942041288478215
10,-0.6004183954739979
11,-0.12550416280658183
12,1.2503461291623665
13,0.9841819094528823
14,0.9886925792872212
15,0.7842754584150491
16,2.165785751748171
17,2.30896408460198
18,1.844841599339338
19,2.191696212054115
20,0.7034058455226724
21,-0.4261676067780815
22,-1.6048990847731925
23,-0.7988638187222747
24,-0.9962878994986859
25,-1.4815764943505734
26,-0.7304197170817446
27,-1.6383152735491429
28,-1.9146586531338947
29,-2.098939331177977
30,-0.11933219438710196
31,0.693682167409861
32,1.0031044488375116
33,2.3572246644994195
34,1.592558978402657
35,1.1431851274356042
36,0.44538471149089887
37,1.7661540516420935
38,1.6241598897743899
39,0.8361858559854802
40,1.175205620226624
41,-0.6153177780844459
42,-1.826234751100916
43,-2.9705339049586286
44,-1.5754731160471493
45,-1.328474171304837
46,-1.3749860340792281
47,0.116852382156587
48,-0.40222655597981927
49,-0.16230260592110213
50,0.16618985121001728
51,3.079918101100777
52,4.547652239832804
53,5.381628065953036
54,7.4581482193426165
55,6.988070955050025
56,6.917383911593053
57,6.584983727641536
58,8.713676304626599
59,9.146452226924483
60,8.865731978820952
61,9.978198444476892
62,8.595513935238305
63,7.9206066307556675
64,7.313832909489388
65,9.6651292982014
66,10.566059632584665
67,10.988036279911087
68,13.04816499254347
69,12.52121059934789
70,12.634994149935892
71,12.568600837705066
72,15.227433421619919
73,15.868817590253588
74,15.451282491392986
75,16.186525492934514
76,13.68007022726745
77,11.425518594468441
78,8.717477986139581
79,8.806369731826887
80,6.950401155890944
81,4.406828073869331
82,3.7414462632135255
83,0.5722217415784243
84,-1.2582359768372697
85,-2.3687177782814075
86,0.6897472605030792
87,2.915839978890652
88,5.503846985909995
89,10.93170179583678
90,14.335652001750386
91,19.394163961157947
92,25.078937543145756
93,34.59468531808581
94,42.32489647107623
95,49.161250150109794
96,57.39191438182944
97,61.720038467661006
98,65.86182176821607
99,68.7268242083617
