infected_unvaccinated,infected_vaccinated,total_vaccinated,total_pop
12,0,59123,6000000
9,0,59123,6000000
8,0,59123,6000000
8,0,59123,6000000
8,0,59123,6000000
8,0,59123,6000000
7,0,59123,6000000
7,0,59123,6000000
6,0,59123,6000000
6,0,59123,6000000
8,0,59123,6000000
8,0,59123,6000000
9,0,59123,6000000
9,0,59123,6000000
8,0,59123,6000000
8,0,59123,6000000
6,0,59123,6000000
6,0,59123,6000000
6,0,59123,6000000
6,0,59123,6000000
6,0,59123,6000000
6,0,64090,6000000
20,0,64090,6000000
16,0,64090,6000000
15,0,64090,6000000
12,0,64090,6000000
12,0,64125,6000000
12,0,65051,6000000
9,0,65051,6000000
8,0,65051,6000000
8,0,65051,6000000
7,0,65051,6000000
25,0,65051,6000000
23,0,65051,6000000
22,0,65051,6000000
55,0,65051,6000000
50,0,65051,6000000
45,0,65051,6000000
41,0,65051,6000000
42,0,65051,6000000
40,0,65051,6000000
37,0,65051,6000000
35,0,65051,6000000
32,0,65051,6000000
30,0,65051,6000000
29,0,65051,6000000
34,0,65051,6000000
135,0,65051,6000000
149,0,65051,6000000
147,0,65051,6000000
139,0,65051,6000000
139,0,65051,6000000
128,0,65051,6000000
122,0,65051,6000000
132,1,65051,6000000
122,1,65051,6000000
113,1,65051,6000000
102,0,65051,6000000
99,0,65051,6000000
92,0,65051,6000000
83,0,65051,6000000
187,1,65051,6000000
202,2,65051,6000000
186,2,65051,6000000
159,2,65051,6000000
148,1,65054,6000000
149,0,65054,6000000
146,0,65054,6000000
121,0,65054,6000000
118,0,65059,6000000
116,0,65059,6000000
125,0,65059,6000000
106,0,65059,6000000
95,0,65059,6000000
93,0,65059,6000000
78,0,65059,6000000
76,0,65059,6000000
76,0,65059,6000000
71,0,65059,6000000
56,0,65059,6000000
60,0,65059,6000000
58,0,65059,6000000
58,0,65059,6000000
49,0,65059,6000000
49,0,65059,6000000
42,0,65059,6000000
59,0,65059,6000000
55,0,65059,6000000
47,0,65059,6000000
45,0,65059,6000000
50,1,65059,6000000
42,1,65059,6000000
34,1,65059,6000000
44,2,65059,6000000
