infected_unvaccinated,infected_vaccinated,total_vaccinated,total_pop
0,0,0,6000000
0,0,0,6000000
0,0,0,6000000
0,0,0,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,6,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
0,0,13,6000000
5,0,13,6000000
7,0,13,6000000
7,0,13,6000000
5,0,13,6000000
5,0,13,6000000
5,0,13,6000000
5,0,13,6000000
5,0,13,6000000
5,0,13,6000000
15,0,13,6000000
14,0,13,6000000
14,0,13,6000000
12,0,13,6000000
12,0,13,6000000
10,0,13,6000000
10,0,57174,6000000
10,0,57174,6000000
10,0,57174,6000000
10,0,57174,6000000
15,1,57174,6000000
14,1,57174,6000000
14,1,57174,6000000
12,1,57174,6000000
12,1,57174,6000000
9,0,57174,6000000
9,0,57174,6000000
8,0,57174,6000000
8,0,57174,6000000
8,0,57174,6000000
8,0,57174,6000000
6,0,57174,6000000
6,0,57174,6000000
5,0,57174,6000000
5,0,57174,6000000
5,0,57174,6000000
5,0,57174,6000000
5,0,57174,6000000
6,0,57174,6000000
15,0,57174,6000000
14,0,57174,6000000
13,0,57174,6000000
12,0,57174,6000000
11,0,57174,6000000
34,0,57174,6000000
99,0,57174,6000000
91,0,57174,6000000
79,0,57174,6000000
72,0,57174,6000000
68,0,57174,6000000
90,0,57174,6000000
86,0,57174,6000000
69,0,57174,6000000
58,0,57174,6000000
55,0,57174,6000000
49,0,57174,6000000
46,0,57174,6000000
43,0,57174,6000000
39,0,57174,6000000
36,0,57174,6000000
34,0,57174,6000000
33,0,57174,6000000
33,0,57174,6000000
28,0,57174,6000000
28,0,57174,6000000
40,0,57174,6000000
38,0,57174,6000000
34,0,57174,6000000
31,0,57174,6000000
32,0,57174,6000000
32,0,58391,6000000
29,0,58391,6000000
27,0,58391,6000000
25,0,58391,6000000
25,0,58391,6000000
25,0,58391,6000000
25,0,58391,6000000
23,0,58391,6000000
23,0,58391,6000000
23,0,58391,6000000
21,0,58391,6000000
21,0,58391,6000000
21,0,58391,6000000
21,0,58391,6000000
18,0,58391,6000000
18,0,58391,6000000
17,0,58391,6000000
15,0,58391,6000000
13,0,58391,6000000
13,0,58391,6000000
13,0,58391,6000000
10,0,58391,6000000
14,0,58391,6000000
15,0,58391,6000000
14,0,58391,6000000
14,0,58391,6000000
14,0,58391,6000000
14,0,58391,6000000
14,0,58391,6000000
14,0,58391,6000000
13,0,58391,6000000
13,0,58391,6000000
12,0,58391,6000000
12,0,58410,6000000
12,0,58410,6000000
10,0,58410,6000000
10,0,58410,6000000
10,0,58410,6000000
10,0,58417,6000000
10,0,58417,6000000
10,0,58417,6000000
10,0,58417,6000000
10,0,58417,6000000
48,0,58417,6000000
44,0,58417,6000000
237,1,58417,6000000
201,1,58417,6000000
191,1,58417,6000000
161,1,58417,6000000
148,1,58417,6000000
141,1,58417,6000000
135,1,58417,6000000
131,1,58417,6000000
120,1,58417,6000000
134,0,58417,6000000
130,0,58417,6000000
117,0,58417,6000000
107,0,58417,6000000
106,0,58417,6000000
98,0,58417,6000000
87,0,58417,6000000
81,0,58417,6000000
73,0,58417,6000000
73,0,58417,6000000
72,0,58417,6000000
64,0,58417,6000000
62,0,58417,6000000
55,0,59067,6000000
47,0,59067,6000000
42,0,59123,6000000
41,0,59123,6000000
37,0,59123,6000000
35,0,59123,6000000
33,0,59123,6000000
32,0,59123,6000000
30,0,59123,6000000
28,0,59123,6000000
24,0,59123,6000000
20,0,59123,6000000
18,0,59123,6000000
17,0,59123,6000000
16,0,59123,6000000
13,0,59123,6000000
12,0,59123,6000000
12,0,59123,6000000
12,0,59123,6000000
